Title,UID,Year,Series,Non-theatrical name (P53),aka,Type,sound/silent,BFI Identifier,BFI link,BFI synopsis,producer,Director,camera/photographer,editor,narrator,Consultant,story,music,gifford_desc,gifford_code,length,Comments,format,Related,From field: Related,Screenings,Sources,Images,Qcodes,BIF_catalogue_1926
See How They Run ,SOL_0027,1938,Secrets of Life,Animal Movement,,Film,sound,643981,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150645091,"A film showing how various animals move on land and in water, including snakes sealions, penguins, polar bears, tigers, lions, a kangaroo, chimpanzees and gibbons. (Synopsis)",,Mary Field,"G. MacPherson, George Pocknall",,E.V.H. Emmett,,,,Animals in Edinburgh Zoo,7242,893,Filmed at Edinburgh Zoo; reissued as Animal Movement ,bw,,,,,,Q704,
Far And Wide ,SOL_0028,1938,Secrets of Life,Seed Dispersal by Wind; Seed Dispersal by Burial; Seed Dispersal by Animals; Seed Dispersal by Fruit Exploding; Seed Dispersal (Film); Seed Dispersal (Series),,Film,sound,12477,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150000089,Shows plants that propogate by seed dispersal. (Synopsis) THE PROCESS OF SEED DISPERSAL> (NFA Catalogue),H. Bruce Woolfe,Mary Field,F. Percy Smith,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7260.1,914,about Scotland,bw,,,,,,Q705,
The Catch Of The Season ,SOL_0029,1938,Secrets of Life,The Development of the Trout,Catch of the Season,Film,sound,139182,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150138771,The lifecycle of a freshwater trout; looking in detail at the development of a trout embryo and hatchling. Also shows the techniques involved in dry-fly trout fishing. (NFA Catalogue) Life cycle and habits of the trout. Photographed by Percy Smith. (Synopsis),H. Bruce Woolfe,Mary Field,F. Percy Smith,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7260.3,855,Life story of a trout. BFI says music by Jack Beaver,bw,,,,,,Q706,
Perky Cockney,SOL_0030,1938,Secrets of Life,The London Sparrow,,Film,sound,256085,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150256657,The habits of the London Sparrow.,H. Bruce Woolfe,Mary Field,Oliver G. Pike,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7260.2,861,,bw,,,,,,Q707,
Home In The Heather ,SOL_0031,1938,Secrets of Life,The Emperor Moth,The Home in the Heather,Film,sound,13075,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150002777,"The life-cycle of the Emperor Moth. Shows the moths mating, the female laying eggs and the caterpillars hatching. The caterpillars are then seen feeding, shedding their coats, making a cocoon and emerging from the cocoon in the spring as a moth. (NFA Catalogue)",H. Bruce Woolfe,Mary Field,Charles Head,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.4,891,"""Emperor Moth""",bw,,,,,,Q708,
Living In London ,SOL_0032,1938,Secrets of Life,The London Pigeon,,Film,sound,218902,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150214837,The London Pigeon. (Synopsis) A light-hearted look at the life of the pigeons that live around London. (NFA Catalogue),H. Bruce Woolfe,Mary Field,Oliver G. Pike,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.3,827,"""Profiles pigeons""",bw,,,,,,Q709,
Over And Under ,SOL_0033,1938,Secrets of Life,,,Film,sound,638173,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150634990,The feeding and mating habits of three species of spider found in the New Forest: the raft spider; the pirate spider; and the water spider. (Shotlist),H. Bruce Woolfe,Mary Field,Charles Head,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.1,826,"""water spiders""",bw,,,,,,Q710,
Swan Song ,SOL_0034,1938,Secrets of Life,The Swan,,Film,sound,3732,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150006680,Documentary about swans filmed at the Swannery at Abbotsbury (NFA Catalogue),H. Bruce Woolfe,Mary Field,Oliver G. Pike,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.6,892,"Reissued Aug 20, 1946: The Swans ",bw,,,,,,Q711,
The Tough 'Un ,SOL_0035,1938,Secrets of Life,The Dandelion,,Film,sound,12799,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150001112,The life cycle of dandelions. (NFA Catalogue),H. Bruce Woolfe,Mary Field,F. Percy Smith,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.2,939,"Reissued as a Biology series, titled Dandelion ",bw,,,,,,Q712,
Three Wicked Sisters ,SOL_0036,1938,Secrets of Life,,The Three Wicked Sisters,Film,sound,310803,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150309283,Secrets of Life series: The Moth. (Nature and Animals.) (Synopsis) Three different types of cloth-eating moth invade a wardrobe full of clothes and lay their eggs on the wool and fur fabrics. The larvae are then seen feeding on the wool and furs and making cocoons from the different materials. Also shows how the larvae react to bright light. (NFA Catalogue),H. Bruce Woolfe,Mary Field,Charles Head,J.V. Durden,E.V.H. Emmett,,,William Hodgson,,7316.5,904,"""Clothes moths""",bw,,,,,,Q713,
Shadow In The Stream ,SOL_0038,1939,Secrets of Life,,,Film,sound,10558,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150006405,"The natural history of the otter, depicted through the fictitious account of a day in the life of Otto the Otter and his mother. The otters swim, forage for food - feasting on trout and moorhen eggs, and are unsuccessfully pursued by hunting dogs. The narrator claims that the film features ""the first film ever taken of an otter swimming underwater."" (NFA Catalogue)",,Mary Field,Oliver G. Pike,J.V. Durden,E.V.H. Emmett,,,,Life of the otter,7471,1534,"""profiles an otter""",bw,,,,,,Q715,
Two Little Orphans ,SOL_0039,1939,Secrets of Life,,,Film,sound,308998,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150301766,,,Mary Field,Oliver G. Pike,J.V. Durden,E.V.H. Emmett,,,Jack Beaver,,7519.3,939,"""covers badgers""",colour,,,,,,Q716,
