Title,UID,Year,Series,Non-theatrical name (P53),aka,Type,sound/silent,BFI Identifier,BFI link,BFI synopsis,producer,Director,camera/photographer,editor,narrator,Consultant,story,music,gifford_desc,gifford_code,length,Comments,format,Related,From field: Related,Screenings,Sources,Images,Qcodes,BIF_catalogue_1926
Kew and Me,SOL_0058,1944,Secrets of Life,,,Film,sound,18283,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150023059,THE WORK OF KEW GARDENS> (NFA Catalogue),,Mary Field,,J.V. Durden,,,,,Visit to Kew Gardens,8630,1539,,,,,,,,Q735,
Tongues And Tails,SOL_0059,1944,Secrets of Life,,,Film,sound,,,,,Mary Field,,,E.V.H. Emmett,,,,,,,Kine Weekly 13 January 1944 p177,,,,,,,Q736,
Polly All Alone ,SOL_0060,1944,Secrets of Life,,,Film,sound,260229,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150258634,"Life and habits of the polecat. (Synopsis) The story of Polly, a young polecat who is left to fend for herself when her mother is killed by a gamekeeper; who also takes her siblings away to use for rabbiting. After finding a new home Polly is seen hunting birds' eggs, rabbits and mice. She has several adventures evading traps set by the gamekeeper and manages to find a mate before winter sets in. (Shotlist)",,Mary Field,Oliver G. Pike,,E.V.H. Emmett,,,,Life of the polecat,8663,1653,"""about a polecat""",,,,,,,Q737,
Memories,SOL_0061,1944,Secrets of Life,,Gilbert White's Home,Film,sound,230569; 18274,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150231213; https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150023050,"One of the ""Secrets of Life"" series - the Hampshire village of Selborne.; The village of Selborne, Hampshire, birthplace of the naturalist Gilbert White. (NFA Catalogue)",,Mary Field,,,E.V.H. Emmett,,,,"Selbourne village, Hampshire",8662,1533,,,,,,,,Q738,
Paws And Claws ,SOL_0062,1944,Secrets of Life,,,Film,sound,11675,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150010949,A 'Secrets of Life' nature study. (Synopsis) An examination of the way that animals have developed paws and claws to cope with the special situations in which they find themselves. The footage was all taken in the zoo. (NFA Catalogue),,Mary Field,Jack Parker,,E.V.H. Emmett,,,Jack Beaver,Animal studies,8661,1427,,,,,,,,Q739,
Fresh As A Daisy ,SOL_0063,1945,Secrets of Life,,,Film,sound,178624,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150187865,"""Secrets of Life"" nature study of the daisy. (Synopsis) From the ""Secrets Of Life"" series. A retired Major, keen to practice golf on his lawn, battles unsuccessfully to keep the daisies away. Featuring close-up and stop-motion photography of various varieties of daisy and other flowers in the daisy family. Humorous commentary explains and describes the action. (NFA Catalogue)",,Irene Wilson,Frank North; F. Percy Smith,,,,,,Life cycle of the daisy,8926,1440,,,,,,,,Q740,
Strife In The Hedgerows,SOL_0064,1945,Secrets of Life,,Hedgerows In Spring,Film,sound,1689,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150011964,,,,,,E.V.H. Emmett,,,Jack Beaver,Animals and birds,8923,1421,,,,,,,,Q741,
The Pest,SOL_0065,1945,Secrets of Life,,Crop Pests,Film,sound,1632,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150011907,"DOCUMENTARY. Insects which damage crops and their control using pesticides. Main title and credits (18). An entymologist walking along a hedgerow swiping at the ground with a bag (like a butterfly net). [His intention is to collect insects to see which varieties live in the hedgerows]. He opens the bag to reveal insects and foliage eaten by insects (54). Butterflies on cabbages; caterpillar eggs; caterpillar grubs; caterpillar gnawing a cabbage leaf (85). A farmer in field of cabbages. He picks off a caterpillar grub from a plant and rolls it in his fingers. He sprays the plants with chemicals using a hand `Flit' gun (92). Slugs eating leaves (101). A centipede (105). A cabbage aphid (108). A brussel sprout plant covered in cabbage aphids (111). Closer shot of aphids on the stem (115). Field of sprout plants being sprayed with a nicotine gassing machine [the fumes pour out under the drag sheet]. CU the drag sheet going over the plants and the fumes emerging (133). The aphids dying (140). Hover fly grub [which survives the nicotine fumes] preying on the aphids (144). A farmer picking a plant and observing that the nicotine fumes have also killed the blackfly. CU stem covered in blackfly (152). A ladybird grub on a stem eating blackfly; a ladybired eating blackfly (183). A pea weevil gnawing a pea plant (193). Pea plant (196). Root of pea plant with grubs eating the bacteria living off it (202). Pea weevil on leaf having been sprayed with insecticide (206). A field of carrot plants; carrot fly on leaf; carrot fly grub (224). Carrot fly on leaf; carrot fly on stinging nettle leaf; on elder leaf; dead nettle; elm leaf (241). Tractor pulling tank spraying carrot crop with a chemical `silicox'?? (254). Carrot fly on leaf having been sprayed with the pesticide; sacks of carrots (259). Pollen beetle on flower; plant having being ravaged by pollen beetle (268). Tractor, with drag sheet, spraying field with chemical applied in form of dust (285). Pollen beetle; time-lapse photography of plant shrivelling (293). Farmers putting on masks to protect themselves against nicotine fumes. Pulling drag sheet into position. Pan of drag sheet [the fumes being sent out destroy aphids] (318). Time-lapse photography of charlock (a weed) sprouting (327). Field of charlock (335). Tractor pulling tank which sprays charlock with pesticide (350). CU charlock leaf with spray on it. Voice-over explains that the pesticide runs down the narrow shiny corn stalk (leaving it unharmed) and onto the broad-leafed weed; charlock withered (364). Corn field being sprayed with pesticide (371). Time-lapse photography of corn sprouting (385). Spraying potato crop (399). Strawberry plant wilting (405). Strawberry aphid moving from one strawberry plant to another 9420). Strawberry plant with shrivelled leaves after spraying (426). Red spider (435). High pressure spraying machine in apple orchard [the machine sprays upwards into the trees] (446). Red spider on hop plant spinning web (470). Rear view of high pressure spraying machine on fruit trees (487). The entymologist by a hedgerow; pan of field (491). CU locust eating a stem (501ft). ""The End"" (508ft). [16mm]. Note: The shot of the locust is very clear. Note: The Archive also holds a 713ft 35mm viewing copy, loc. 204719A. This copy, donated by H.G. Morris-King, has no title or credits and contains footage from 206ft to end. (Shotlist)",,,"Jack Parker, Jack Rose, F. Percy Smith",Irene Wilson,E.V.H. Emmett,W. E. Ripper,,,Insects and weeds,8927,1257,,,,,,,,Q742,
King Of The Forest,SOL_0066,1945,Secrets of Life,,The Oak Tree,Film,sound,211398,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150213556,,,,,,E.V.H. Emmett,,,Jack Beaver,How oak trees grow,8932,1356,,,,,,,,Q743,
Sally The Sparrow ,SOL_0067,1945,Secrets of Life,,,Film,sound,275860,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150274237,"A visit to the Zoo seen through the eyes of a sparrow. (Synopsis) Daily life at London zoo, as seen through the eyes of Sally the sparrow as she visits various animals at feeding time in search of food for herself. Credits state: For the Odeon National Cinema Club and Gaumont-British Junior Club. (NFA Catalogue)",,,Jack Rose,,E.V.H. Emmett,,,,Visit to the London Zoo,8921,804,"""a bird visits the London Zoo""",,,,,,,Q744,
Seashores,SOL_0068,1945,Secrets of Life,,Underwater Life On The Seashore,Film,sound,543189,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150537521,"Wildlife film on sea creatures, uses underwater photography to show a wide variety of species in their natural habitats, with some close-up examination of biological details. (NFA Catalogue)",,,Frank Goodliffe,Irene Wilson,E.V.H. Emmett,,,Jack Beaver,Insect and fish life,8940,1369,,,,,,,,Q745,
Fast And Slow ,SOL_0069,1945,Secrets of Life,,,Film,sound,871,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150008424,"""Secret of Life"" short on the art of movement, particularly with regard to animals. (Synopsis) The art of movement, particularly with regard to animals. (NFA Catalogue)",,,,,E.V.H. Emmett,,,,Animal movement,8935,1395,Possibly about how people in different classes travel,,,,,,,Q746,
On The Beach,SOL_0070,1946,Secrets of Life,,Starfish And Lugworms,Film,sound,248764,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150243116,"Study of fish and sea creatures left by the tide: crab, a starfish, weaver fish etc. (Synopsis)",,,,,,,,,Starfish and lugworms,9242,600,Gifford says part of SoN,,,,,,,Q747,
A Visit To Farne Island ,SOL_0071,1946,Secrets of Life,,Visit To Farne Island ,Film,sound,21306,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150020685,THE SANCTUARY FOR BIRDS ON THE FARNE ISLANDS (NFA Catalogue) Documentary on the bird sanctuary. (Synopsis),,,,,,,,,Seabird sanctuary,9239,578,"""Update of Nursey Island"" - Gifford says part of SoN",,,,,,,Q748,
Home Of The Sea Birds ,SOL_0072,1946,Secrets of Life,,,Film,sound,15083,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150023840,"Cormorants, puffins, and terns are among the birds shown. (Synopsis) CORMORANTS>, PUFFINS> AND TERNS> (NFA Catalogue)",,,,,,,,,,,,,,,,,,,Q749,
A Lonely Family,SOL_0073,1946,Secrets of Life,,,Film,sound,2218,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150001297,Sparrowhawks and their young. (NFA Catalogue) The nesting of sparrow-hawks and the growth of their young. (Synopsis),,,,,,,,,Sparrowhawks,9243,685,"Reissue of 1936 ""Home in the Valley""",,,,,,,Q750,
The Willow Tree,SOL_0074,1947,Secrets of Life,,,Film,sound,11706,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150010980,"Willow trees and their uses particularly in baskets, cane furniture and the manufacture of cricket bats. (NFA Catalogue)",,Thora James; Claude Hudson,Oliver G. Pike; Jack Parker,,,,,,Making  Cricket Bats,9482,1297,,,,,,,,Q751,
The Country Comes To Town ,SOL_0075,1947,Secrets of Life,,Country Comes to Town,Film,sound,149497,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150148214,"How Second World War bomb damaged sites in London have been transformed by plants into small gardens and recreational areas. Shows in detail how moss spors are dispersed, absorb water and act as a habitat for insects, which then allows the creation of soil. Looks at the way in which various seeds may have arrived on the derelict sites. Shows in detail the dispersal, germination, growth and flowering of thistle seeds. Queen Mary is shown opening a memorial garden on a once derelict site near St James' church. (NFA Catalogue) The various flowers & Plants that have grown on bombed sites in London. (Synopsis)",,Thora James,,,,,,,Flowers on bombsites,9483,1458,,,,,,,,Q752,
The Rock Pool,SOL_0076,1949,Secrets of Life,,,Film,sound,639314,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150626679,"Marine life in the coastal rock pools of Great Britain, including: starfish, anemones, barnacles, seaweed, jellyfish and a hermit crab. (NFA Catalogue)",,Mary Field,Frank Goodliffe,,E. V. H. Emmett,,,,,,,,,,,,,,Q753,
Secrets of Life,SOL_0000,,,,,Series,,768110,https://collections-search.bfi.org.uk/web/Details/ChoiceFilmWorks/150778000,Series produced by Gaumont British Instructional Ltd for secondary schools. Production between 1930 and 1950. Mostly directed by Mary Field.,,,,,,,,,,,,,,Secrets Of Nature,,,,,Q630,
Secrets Of Nature,SON_0000,,,,,Series,,,,,,,,,,,,,,,,,,,Secrets of Life,,,,,
